月日,対戦カード,球場・開始時間,備考,予告先発／責任投手
,DeNA 5 - 5 阪神,横　浜 14:00,,分：須　田 分：榎　田
,中日 3 - 3 広島,ナゴヤドーム 14:00,,分：阿知羅 分：小　野
,日本ハム 3 - 6 西武,札幌ドーム 14:00,,勝：牧　田 敗：大　谷
,ロッテ 9 - 8 楽天,QVCマリン 13:00,,勝：大　谷 敗：松井裕
,オリックス 1 - 2 ソフトバンク,ほっと神戸 13:00,,勝：武　田 敗：　西
5/16（月）,,,,
5/17（火）,巨人 1 - 7 DeNA,山　形 18:00,,勝：モスコーソ 敗：内　海
,阪神 3 - 4 中日,甲子園 18:00,,勝：田　島 敗：ドリス
,広島 9 - 0 ヤクルト,マツダスタジアム 18:00,,勝：ジョンソン 敗：新　垣
,楽天 1 - 7 オリックス,秋　田 18:00,,勝：ディクソン 敗：塩　見
,ロッテ 5 - 2 西武,QVCマリン 18:15,,勝：石　川 敗：佐　藤
,ソフトバンク 2 - 7 日本ハム,北九州 18:00,,勝：有　原 敗：バンデンハーク
5/18（水）,巨人 0 - 1 DeNA,福　島 18:00,,勝：石　田 敗：田　口
,阪神 3 - 2 中日,甲子園 18:00,,勝：横　山 敗：山　井
,広島 3 - 11 ヤクルト,マツダスタジアム 18:00,,勝：秋　吉 敗：今　村
,楽天 2 - 10 オリックス,盛　岡 18:00,,勝：松　葉 敗：則　本
,ロッテ 0 - 3 西武,QVCマリン 18:15,,勝：菊　池 敗：二　木
,ソフトバンク 6 - 2 日本ハム,ヤフオクドーム 18:00,,勝：和　田 敗：吉　川
5/19（木）,阪神 3 - 2 中日,甲子園 18:00,,勝：藤　川 敗：又　吉
,広島 7 - 6 ヤクルト,マツダスタジアム 18:00,,勝：今　村 敗：村　中
,ロッテ 1 - 2 西武,QVCマリン 18:15,,勝：髙橋光 敗：涌　井
,ソフトバンク 6 - 8 日本ハム,ヤフオクドーム 18:00,,勝：増　井 敗：サファテ
5/20（金）,ヤクルト 6 - 3 DeNA,神　宮 18:00,,勝：ルーキ 敗：井　納
,中日 0 - 2 巨人,ナゴヤドーム 18:00,,勝：マシソン 敗：福　谷
,阪神 1 - 4 広島,甲子園 18:00,,勝：永　川 敗：田　面
,オリックス 6 - 4 ロッテ,京セラD大阪 18:00,,勝：金子千尋 敗：スタンリッジ
5/21（土）,ヤクルト 1 - 4 DeNA,神　宮 18:00,,勝：今　永 敗：山　中
,中日 6 - 4 巨人,ナゴヤドーム 15:00,,勝：ジョーダン 敗：田原誠
,阪神 4 - 3 広島,甲子園 14:00,,勝：マテオ 敗：中　﨑
,日本ハム 5 - 1 楽天,札幌ドーム 14:00,,勝：メンドーサ 敗：レ　イ
,西武 4 - 3 ソフトバンク,西武プリンス 13:00,,勝：増　田 敗：寺　原
,オリックス 3 - 10 ロッテ,京セラD大阪 14:00,,勝：関　谷 敗：近　藤
5/22（日）,ヤクルト 3 - 11 DeNA,神　宮 18:00,,勝：山　口 敗：　原樹
,中日 5 - 1 巨人,ナゴヤドーム 14:00,,勝：吉　見 敗：高　木
,阪神 5 - 10 広島,甲子園 14:00,,勝：戸　田 敗：メッセンジャー
,日本ハム 8 - 0 楽天,札幌ドーム 14:00,,勝：大　谷 敗：釜　田
,西武 2 - 4 ソフトバンク,西武プリンス 13:00,,勝：武　田 敗：野　上
,オリックス 1 - 5 ロッテ,京セラD大阪 13:00,,勝：唐　川 敗：　西
5/23（月）,,,,
5/24（火）,ヤクルト 5 - 7 阪神,神　宮 18:00,,勝：能　見 敗：八　木
,中日 5 - 6 DeNA,浜　松 18:00,,勝：須　田 敗：又　吉
,広島 6 - 0 巨人,マツダスタジアム 18:00,,勝：ジョンソン 敗：内　海
,日本ハム 1 - 3 ロッテ,札幌ドーム 18:00,,勝：石　川 敗：有　原
,西武 4 - 1 楽天,西武プリンス 18:00,,勝：佐　藤 敗：則　本
,ソフトバンク 22 - 6 オリックス,ヤフオクドーム 18:00,,勝：バンデンハーク 敗：ディクソン
5/25（水）,ヤクルト 9 - 8 阪神,神　宮 18:00,,勝：オンドルセク 敗：藤　川
,中日 1 - 4 DeNA,豊　橋 18:00,,勝：石　田 敗：若　松
,広島 9 - 3 巨人,マツダスタジアム 18:00,,勝：野　村 敗：田　口
,西武 7 - 0 楽天,西武プリンス 18:00,,勝：菊　池 敗：川　井
,ソフトバンク 5 - 2 オリックス,ヤフオクドーム 18:00,,勝：和　田 敗：松　葉
5/26（木）,ヤクルト 6 - 5 阪神,神　宮 18:00,,勝：オンドルセク 敗：マテオ
,広島 3 - 2 巨人,マツダスタジアム 18:00,,勝：九　里 敗：大竹寛
,日本ハム 1 - 2 ロッテ,函　館 13:30,,勝：西　野 敗：高　梨
,西武 4 - 0 楽天,県営大宮 18:00,,勝：髙橋光 敗：美　馬
,ソフトバンク 4 - 3 オリックス,ヤフオクドーム 18:00,,勝：飯　田 敗：金子千尋
5/27（金）,巨人 0 - 1 阪神,東京ドーム 18:00,,勝：岩　貞 敗：菅　野
,DeNA 6 - 1 広島,横　浜 18:00,,勝：井　納 敗：黒　田
,中日 6 - 5 ヤクルト,ナゴヤドーム 18:00,,勝：岡　田 敗：松　岡
,楽天 3 - 2 日本ハム,Koboスタ宮城 18:00,,勝：塩　見 敗：谷　元
,ロッテ 0 - 1 ソフトバンク,QVCマリン 18:30,,勝：東　浜 敗：涌　井
5/28（土）,巨人 4 - 6 阪神,東京ドーム 18:00,,勝：岩　崎 敗：今　村
,DeNA 3 - 1 広島,横　浜 14:00,,勝：今　永 敗：岡　田
,中日 6 - 9 ヤクルト,ナゴヤドーム 15:00,,勝：村　中 敗：　福
,楽天 1 - 7 日本ハム,Koboスタ宮城 14:00,,勝：メンドーサ 敗：安　樂
,ロッテ 2 - 10 ソフトバンク,QVCマリン 14:00,,勝：千　賀 敗：スタンリッジ
,オリックス 8 - 6 西武,ほっと神戸 15:00,,勝：吉田一 敗：武　隈
5/29（日）,巨人 2 - 1 阪神,東京ドーム 14:00,,勝：高　木 敗：メッセンジャー
,DeNA 0 - 6 広島,横　浜 13:00,,勝：中村恭 敗：山　口
,中日 6 - 1 ヤクルト,ナゴヤドーム 14:00,,勝：吉　見 敗：　原樹
,楽天 3 - 12 日本ハム,Koboスタ宮城 13:00,,勝：大　谷 敗：釜　田
,ロッテ 4 - 6 ソフトバンク,QVCマリン 13:00,,勝：　森 敗：西　野
,オリックス 3 - 5 西武,ほっと神戸 15:00,,勝：牧　田 敗：佐藤達
5/30（月）,,,,
5/31（火）,日本ハム 4 - 8 ヤクルト,札幌ドーム 18:00,,勝：デイビーズ 敗：有　原
,楽天 9 - 1 阪神,Koboスタ宮城 18:00,,勝：則　本 敗：能　見
,西武 2 - 5 DeNA,西武プリンス 18:00,,勝：モスコーソ 敗：佐　藤
,ロッテ 5 - 0 広島,QVCマリン 18:15,,勝：石　川 敗：ジョンソン
,オリックス 2 - 3 巨人,京セラD大阪 18:00,,勝：田　口 敗：　西
,ソフトバンク 5 - 2 中日,ヤフオクドーム 18:00,,勝：岩　嵜 敗：福　谷
